itemId,reorderLevel,stockLevel
191835739449,15,16
191850851551,5,17
191856367899,20,20
191869800151,5,23
191893293344,10,22
191921980162,10,3
191935150693,10,3
191947255582,5,25
191967516012,15,20
192026962961,15,24
192047000615,20,6
192057623418,15,11
192059044625,10,8
192071020893,10,12
192073170049,20,5
201109051947,5,9
201123983365,5,16
201298961923,20,23
201393944357,5,8
201455475377,20,22
201552036864,10,5
201581483807,20,1
201589319504,10,12
201653574232,10,17
201711236566,5,12
201711761383,5,17
201731868756,5,6
201741012731,10,6
201763237774,20,5
201770601480,20,6
201771160910,10,21
201777397373,5,14
221619547999,5,6
221625985238,15,3
221690669336,20,23
221754119035,20,23
221840902977,15,23
221849213939,10,7
221865651165,5,19
221865665426,10,15
221881559033,20,15
222000704702,5,11
222015711637,10,22
222040846341,5,14
222076052871,15,10
222084872288,5,15
222088959188,15,22
222121081182,15,21
222152461690,5,6
222207533621,15,22
222222232331,5,4
222233950588,10,6
222244532354,5,13
222249225886,10,17
222260131673,20,21
222270641259,10,1
222272856353,5,15
222274629028,10,19
222280283051,10,4
222288774385,20,21
222289178220,15,18
222330974736,15,15
222331268015,5,13
222345104346,20,15
222348822567,10,10
222354306674,15,18
222358462786,20,6
222365339859,10,15
222365339862,15,25
222365339869,10,10
222365339876,5,9
222365339880,10,24
222367633553,10,16
222369697422,15,7
222372112038,15,20
222373871297,10,11
231173203716,20,15
231182663537,5,9
231487453540,15,14
231594333976,15,4
231611240768,5,3
231726616201,5,17
231876236792,15,8
232186158725,15,5
251703344245,5,17
252095709599,5,16
252114095494,20,3
252275872744,5,4
252275885098,10,1
252290386757,15,10
252290412387,15,15
252290545996,15,18
252296091935,10,20
252296120126,20,13
252304805546,5,19
252304807127,20,3
252306485484,5,20
252324090717,15,10
252325285346,15,9
252328637770,15,24
252334852398,20,4
252338736096,15,24
252339381918,15,12
252345734481,10,3
252355180405,15,14
252359606593,20,10
252362602442,20,8
252363004547,20,1
252363465055,20,24
252368172620,10,20
252370764649,20,6
252379572162,10,10
252384698818,15,25
252418445139,5,9
252435459432,10,10
252435887693,10,23
252443394948,10,1
252443406630,20,24
252551810522,20,3
252570043229,5,16
252592890115,15,21
252613382393,10,22
252649216405,20,5
252681635918,5,13
252684938283,15,5
252687096975,5,16
252690254904,10,12
252692381414,20,6
252692386789,10,18
252694115522,15,3
252695011864,15,13
252707365613,20,19
252707365623,5,22
252712423239,15,12
252712424617,15,6
252712634230,15,5
252714164616,5,11
252714387911,10,4
252716945473,10,7
252718346855,10,20
252719729268,20,7
252720540255,15,25
252720541080,10,10
252721015523,5,11
261217751153,15,10
261551518450,15,11
261666755372,5,21
261902550962,5,1
261911147698,15,16
261961146917,20,23
261976848512,15,10
261987185383,20,20
262015778306,5,21
262091972883,20,10
262184962836,20,18
262398211611,15,1
262402001563,10,7
262406712176,10,14
262421620618,10,8
262453735520,10,25
262475058567,20,2
262526035861,20,14
262526049863,20,14
262536674589,5,2
262540595857,20,12
262563035918,15,14
262637230179,20,18
262708282246,20,17
262708352955,15,14
262709558915,5,8
262717592222,20,21
262717872279,5,20
262731863822,5,17
262733160839,15,13
262733491502,10,7
262739103164,10,15
262757004478,5,18
262758540308,10,4
262767107444,5,15
262767886317,20,15
262767925833,10,4
262778462531,15,10
262781467003,10,3
262792350243,15,6
262793091160,20,3
262794037212,15,10
262799159915,15,25
262801504604,20,2
271370699375,10,17
271398321548,5,20
271503227235,10,15
271527627241,20,12
271733681570,15,7
271787068221,5,14
271825194374,15,11
271840446411,10,25
271884426798,5,23
271884437124,5,13
272065321948,10,12
272139798117,5,24
272180737847,10,15
272202450904,10,16
272210858740,15,7
272239738285,10,8
272241326053,10,21
272276840024,20,14
272278309964,20,4
272327223380,10,11
272342038144,20,17
272344432468,10,6
272350767573,15,21
272350767740,5,22
272364749117,5,2
272387370270,20,4
272390759496,5,3
272392730979,10,24
272399047919,20,1
272412092985,5,22
272415754099,15,25
272417394368,20,4
272434542436,5,17
272458935577,15,12
272478889903,10,3
272483643005,15,16
272483655098,10,2
272486775823,5,8
272487237007,10,15
272493700994,5,10
272494341412,20,23
272498711297,5,11
272513882749,5,2
272518349092,5,8
280944653636,5,24
280950387878,10,12
281755759045,15,10
281857671697,10,3
281857706687,15,12
281857709703,20,13
281857715968,15,8
281857719749,20,7
281857722717,20,6
281896842730,15,18
281918049355,10,10
281923113593,10,3
281954064846,5,16
281959800709,15,21
281970249057,10,1
281972630235,15,23
281973326846,20,6
281974766906,15,18
281976046909,15,19
281976252586,20,18
281994483946,15,24
282003431893,20,10
282017707693,10,1
282044065082,20,25
282051853377,10,3
282065602857,10,4
282092752274,20,14
282095359953,10,24
282123963200,15,24
282130337620,10,11
282147303910,15,5
282147862846,20,3
282152602690,15,6
282196830877,5,10
282200821657,20,2
282221546598,20,16
282223505860,20,11
282223871955,15,8
282241166449,5,3
282247697232,10,23
282249989274,5,24
282250083480,10,2
282265076740,5,25
282268358808,5,20
282273336489,15,8
282299751457,20,15
282299764840,5,6
282304941939,15,4
282306408957,5,19
282314659239,15,13
282315858927,20,8
282319048608,15,4
291172475758,20,18
291269994471,5,7
291390743486,5,21
291499772128,20,12
291499793311,20,3
291566628069,20,24
291685420454,5,4
291705174452,5,24
291744153749,15,18
291755275899,20,22
291952582717,5,17
291974650372,15,1
291978421856,10,7
291990685140,15,3
291991951898,20,15
291991952213,15,4
291992209046,20,9
291996789002,20,23
291997333096,5,2
301696286238,20,7
301735220970,15,8
301762143389,15,5
301780626657,5,25
301781281218,15,6
301791121913,5,14
301801300588,20,2
301869497915,15,14
301922931659,5,17
301927150467,5,21
301934104713,15,9
301972752884,20,25
301973525048,20,8
301975217438,20,25
302006568815,20,17
302021147066,15,3
302021636366,15,12
302049640637,20,10
302065961376,15,18
302112112360,20,23
302165484854,5,15
302165485575,15,25
302167901878,20,20
302167904168,15,16
302167904674,10,15
302169049944,20,7
302174846852,10,19
302184838142,20,20
302184845941,15,11
302184974744,15,5
302187047156,10,15
302189857534,15,9
302191942225,20,24
302193372033,10,23
311427251694,10,9
311621267957,15,13
311640800258,20,10
311708349978,5,22
311736812693,10,25
311775226394,5,2
321696518647,10,4
322011308807,20,10
322073623705,20,21
322112040296,5,1
322142658451,20,7
322203613912,15,9
322218312481,20,15
322239030600,5,25
322256802770,10,4
322257692273,15,6
322282765845,10,18
322289030753,5,4
322313909695,15,11
322345545312,10,21
322360791778,20,2
322371714706,15,11
330520935927,10,5
330681955149,15,3
331755540514,20,22
331800250051,20,8
331901087540,5,7
331926473086,15,13
331953142365,15,2
331966219187,15,13
332012732126,10,2
332015517471,10,17
332034565856,5,24
332067804116,5,23
332073261265,5,18
332073752686,5,4
332073767641,20,14
332080132938,15,19
332081675065,20,16
332081675073,15,22
332082719526,5,19
332082719527,15,18
332082870683,15,12
332083571724,5,4
332086886724,10,20
332087528098,15,16
332087537235,5,9
332087584877,5,7
332087782935,5,11
332087905113,5,24
332088053512,15,2
351345366905,15,12
351517538755,20,10
351568000654,15,25
351569025560,5,12
351594708791,5,25
351610771318,15,8
351652453003,15,19
351670114368,5,14
351694485948,5,9
351706301248,5,21
351707192689,15,13
351718250672,15,1
351745631473,5,6
351747397193,20,1
351770400769,10,16
351823055853,5,17
351841143695,20,25
351895625799,20,20
351927452351,5,21
360989954899,5,21
361027279284,20,23
361074286325,20,21
361132097605,10,16
361139598805,20,7
361165625551,20,18
361230086996,20,18
361232372273,5,1
361240535875,10,8
361252428946,5,4
361252437963,15,6
361275533528,20,4
361314242481,20,15
361385562373,10,18
361446911853,5,6
361451700816,20,12
361487729393,20,22
361496731893,20,13
361496735276,20,12
361535994526,10,1
361548139554,10,17
361587649523,5,4
361790699411,5,24
361834713807,10,12
361859361416,20,12
361861216618,10,11
361863815869,5,21
361875496277,5,25
371216799527,15,2
371301765508,10,1
371302513437,20,3
371333764620,20,15
371447414832,5,9
371584858420,15,12
371588751254,5,17
371595308109,15,12
371675170735,10,1
371676214368,10,10
371836695727,20,16
381652194744,5,6
381803500766,10,15
381884877591,15,12
381884877601,10,5
391367941805,20,1
391436417262,10,19
391551032346,15,16
391551032514,10,1
391573880984,5,4
391652931084,15,18
391652952305,15,7
391656242609,5,5
400440107498,10,2
400905608764,10,15
401133577766,20,7
401134792271,20,16
401144593068,15,17
401186632163,15,17
401188601371,5,2
